animal	sex	tx	bleed_day	weight_day	weight_g	delta
116331.2	F	mock	10	5	19.3	0.02659574468085113
116331.2	F	mock	10	10	18.2	-0.03191489361702138
116331.3	F	mock	10	1	19.8	0
116331.3	F	mock	10	2	19.9	0.00505050505050497
116331.3	F	mock	10	3	20.3	0.0252525252525253
116331.3	F	mock	10	4	21	0.06060606060606055
116331.3	F	mock	10	5	20.8	0.05050505050505061
116331.3	F	mock	10	10	19.5	-0.01515151515151513
116331.4	F	mock	10	1	23.2	0
116331.4	F	mock	10	2	23.5	0.01293103448275867
116331.4	F	mock	10	3	23.1	-0.00431034482758607
116331.4	F	mock	10	4	23.3	0.00431034482758629
116331.4	F	mock	10	5	23.4	0.00862068965517237
116331.4	F	mock	10	10	22.1	-0.04741379310344817
116331.5	F	mock	10	1	21.3	0
116331.5	F	mock	10	2	21.3	0
116331.5	F	mock	10	3	21.5	0.00938967136150226
116331.5	F	mock	10	4	21.9	0.028169014084507
116331.5	F	mock	10	5	22.3	0.04694835680751175
116331.5	F	mock	10	10	21.4	0.00469483568075101
116332.1	F	mock	10	1	18.2	0
116332.1	F	mock	10	2	18.2	0
116332.1	F	mock	10	3	18.2	0
116332.1	F	mock	10	4	18.7	0.02747252747252737
116332.1	F	mock	10	5	18.6	0.02197802197802212
116332.1	F	mock	10	10	18.2	0
116332.2	F	mock	10	1	18.8	0
116332.2	F	mock	10	2	20.6	0.0957446808510638
116332.2	F	mock	10	3	20.7	0.10106382978723394
116332.2	F	mock	10	4	20.3	0.07978723404255317
116332.2	F	mock	10	5	20	0.06382978723404253
116332.2	F	mock	10	10	19.9	0.05851063829787217
116332.3	F	mock	10	1	22.5	0
116332.3	F	mock	10	2	22.9	0.01777777777777767
116332.3	F	mock	10	3	22.9	0.01777777777777767
116332.3	F	mock	10	4	23.1	0.02666666666666684
116332.3	F	mock	10	5	23.1	0.02666666666666684
116332.3	F	mock	10	10	21.9	-0.02666666666666672
116332.4	F	mock	10	1	19.9	0
116332.4	F	mock	10	2	20.5	0.03015075376884435
116332.4	F	mock	10	3	20.6	0.03517587939698496
116332.4	F	mock	10	4	20.4	0.02512562814070351
116332.4	F	mock	10	5	20.4	0.02512562814070351
116332.4	F	mock	10	10	20	0.00502512562814083
116332.5	F	mock	10	1	20.4	0
116332.5	F	mock	10	2	21.2	0.03921568627450989
116332.5	F	mock	10	3	21.1	0.03431372549019618
116332.5	F	mock	10	4	21.3	0.04411764705882359
116332.5	F	mock	10	5	21	0.02941176470588247
116332.5	F	mock	10	10	21	0.02941176470588247
116333.1	F	mock	10	1	18.9	0
116333.1	F	mock	10	2	19.3	0.02116402116402138
116333.1	F	mock	10	3	19.4	0.02645502645502651
116333.1	F	mock	10	4	19.5	0.03174603174603185
116333.1	F	mock	10	5	19.2	0.01587301587301581
116333.1	F	mock	10	10	18.6	-0.0158730158730157
116333.2	F	mock	10	1	19.8	0
116333.2	F	mock	10	2	20.2	0.02020202020202011
116333.2	F	mock	10	3	20.6	0.04040404040404044
116333.2	F	mock	10	4	20.1	0.01515151515151513
116333.2	F	mock	10	5	20.1	0.01515151515151513
116333.2	F	mock	10	10	19.9	0.00505050505050497
116333.3	F	mock	10	1	21.6	0
116333.3	F	mock	10	2	22.3	0.03240740740740744
116333.3	F	mock	10	3	22.5	0.04166666666666652
116333.3	F	mock	10	4	23	0.06481481481481466
116333.3	F	mock	10	5	22.7	0.05092592592592582
116333.3	F	mock	10	10	21.2	-0.0185185185185186
116333.4	F	mock	10	1	19.7	0
116333.4	F	mock	10	2	20	0.01522842639593902
