gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Suv39h2	1.0016520969951392	-0.03180686578397831	1.382293372761903	-0.0230102136136458	0.981642125821584	1
Suz12	12.085077352684864	0.1943774442988957	0.33823726670256327	0.5746777881510791	0.5655092322470563	1
Sv2c	4.78454580320514	0.41456344394649214	0.5928077990041675	0.6993218453652256	0.4843509178563929	1
Svil	3.120461013742601	0.04951325234037263	0.7202990629481377	0.06873985388474348	0.9451966944014096	1
Swap70	8.26531953515992	-0.7664815294405464	0.4651992368329456	-1.6476414163073791	0.09942627627501624	1
Swsap1	13.747119286093596	-0.13070779709390182	0.3270580335472979	-0.3996471075063788	0.6894164546558259	1
Swt1	1.8322043575765097	0.1169217220139812	0.973780800176458	0.12006985760326548	0.9044278097622316	1
Syap1	15.170083638397657	0.0984761401408325	0.3018670636537653	0.3262235334616777	0.7442552373610476	1
Syce2	4.742208329119474	0.12670455625792895	0.5834143247266479	0.21717765726320645	0.8280698960713662	1
Syde1	7.858938584703931	-0.0950955897439418	0.4395807528015814	-0.21633246937648837	0.8287286013399279	1
Syde2	1.0016520969951392	-0.03180686578397831	1.382293372761903	-0.0230102136136458	0.981642125821584	1
Syk	1.0016520969951392	-0.03180686578397831	1.382293372761903	-0.0230102136136458	0.981642125821584	1
Syn3	6.979236008552436	0.5622462326680335	0.44614605009212943	1.2602290943782408	0.20758673013116116	1
Syndig1l	33.965355489360086	-0.15462187314844875	1.1910228499051154	-0.12982275962276202	NA	1
Syne2	14.62600956324776	0.26022954716477825	0.3096531829592443	0.8403903511595066	0.4006895573416682	1
Syne4	1.6199790064776751	-1.544787224391331	1.3469793241134689	-1.146852959608754	0.25144239697175114	1
Syngr2	14.176642830862626	-0.20302000679796864	0.3288554488159685	-0.6173533311639945	0.5370016971934906	1
Synj2bp	10.509251519817916	-0.18859193822738615	0.38587686253166464	-0.4887360620433948	0.6250285693851625	1
Synpo2	1.1988320279316034	-0.4180551396948337	1.3076670324731987	-0.3196954035800409	0.7491992444859383	1
Sypl2	1.8463634729147451	-0.2418333357436458	1.0215516030093823	-0.23673139470510396	0.812865177681489	1
Syt10	2.9175250469678167	-0.4885591060750894	0.8286923287419147	-0.5895542762134639	0.5554895137856776	1
Syt14	3.4324080400488084	0.6902370186837472	0.6572528948003243	1.0501848286167588	0.29363314340138497	1
Syt6	8.667259690182421	0.3121611578034379	0.4320231702036045	0.7225565185689512	0.4699523901308046	1
Syt9	2.9192781433378805	-0.4894513630495986	0.8005886475873496	-0.6113643561204709	0.5409583942823977	1
Sytl1	3.098118574092113	0.07841789600950638	0.7400363788345723	0.10596492044485818	0.9156101848706114	1
Sytl5	1.2118274117483387	-0.4349224770276178	1.3481885494308754	-0.322597664259362	0.7469999628842205	1
Szt2	9.94140780157426	-0.3127187027429187	0.4027123436152598	-0.776531208195797	0.4374354014714461	1
Tab2	14.493435879533624	-0.24043990469753185	0.3210498134123925	-0.7489177524880967	0.4539067797039857	1
Tab3	4.403317034927345	0.18014105981947406	0.5910199191278236	0.30479693490755905	0.760520816113364	1
Tacc3	4.44394483639132	-0.02342743008777765	0.5936709003128745	-0.03946198150428294	0.9685220642563296	1
Taco1	18.925640633195343	-0.17816776424974132	0.28077612703401666	-0.6345545332924828	0.5257189895182539	1
Tada2a	17.81033103740905	-0.07730869968709848	0.2839334782007902	-0.2722775073125679	0.7854086496799135	1
Tada2b	17.588611351449625	0.2303232583353867	0.28189918874281117	0.817041224426937	0.4139048697450579	1
Taf12	11.477743731012048	-0.08799899581283009	0.37080296985026434	-0.2373200944112324	0.8124084742431689	1
Taf1a	1.884519578695948	0.0982464699210987	0.9772930938269412	0.10052917649952836	0.9199242206620206	1
Taf1b	17.62652293532055	-0.13619677237862635	0.2860075485881518	-0.4761999221732026	0.6339319549438438	1
Taf1c	9.867578802816825	-0.17597784629260502	0.39047046864924057	-0.4506815762568867	0.6522190627376572	1
Taf1d	9.636781298345758	-0.05572622839648934	0.3931466937212811	-0.1417441104973303	0.8872821315369416	1
Taf2	9.785212358554944	0.02659368670891633	0.38390138655707184	0.06927218197208267	0.9447729681025944	1
Taf3	4.814238877040586	0.1776307264649063	0.5540197940116719	0.3206216246872292	0.7484971479845154	1
Taf4	6.823875290710447	-0.20453124340141743	0.4731478126790354	-0.432277689805497	0.6655396002048976	1
Taf5	1.0016520969951392	-0.03180686578397831	1.382293372761903	-0.0230102136136458	0.981642125821584	1
Taf5l	11.058801399153891	0.22554056735853656	0.35266234077563546	0.6395368636823798	0.5224737402828956	1
Taf6l	13.568609470432984	-0.25087119433590627	0.33548376883943715	-0.7477893646055153	0.4545872181338473	1
Taf7	3.0816165308315115	0.1440670197163215	0.717506101268733	0.2007885639739849	0.8408639054542897	1
Taf8	13.779685941627696	0.13031113308905184	0.31836226519457717	0.40931714381856177	0.6823069358844199	1
Taf9b	10.996915169923136	0.03838244903482909	0.358293558214588	0.10712570224843727	0.9146892570469232	1
Tafa1	11.931220911110486	0.22849504414056673	0.35197695957927944	0.649176140431716	0.5162245318047818	1
Tafa2	18.089652222000822	0.02183962753630318	0.2973902863558569	0.0734375954370275	0.9414579015156092	1
Tagln2	19.74923326244101	-0.2712767239128641	0.27753756581336164	-0.9774414613670432	0.328350645163886	1
Tamm41	13.61020727957834	0.09389447348723085	0.3206900846923177	0.29278882625048036	0.7696835695397269	1
Tanc1	6.09288389928517	0.6313175947956463	0.4723121382834878	1.3366533349958527	0.18133582083375352	1
Tango6	2.6240549258526324	-0.2429098842245065	0.8137836236633277	-0.2984944365567638	0.7653258216824155	1
Tank	14.301962506702267	-0.1663076627134821	0.32365259012402675	-0.513846228296061	0.6073595044680977	1
Taok1	11.16418031256528	0.13474652200134385	0.3516104259166884	0.38322675344465207	0.7015516430707327	1
Tap1	2.6756578669503863	-0.6304357092540848	0.8561801920833086	-0.7363353124534113	0.46152666105824136	1
Tap2	15.02430748470159	-0.4875480614239916	0.3275390440387092	-1.4885189118594735	0.13661409847593517	1
Tapbpl	10.225151025459358	-0.3887526011412847	0.39008476140061227	-0.9965849466804486	0.31896601571458433	1
Tarbp1	1.0016520969951392	-0.03180686578397831	1.382293372761903	-0.0230102136136458	0.981642125821584	1
Tars	12.703411564741955	-0.0645512485770755	0.3560140578160239	-0.1813165720844468	0.8561190989730358	1
Tarsl2	18.85643578489452	0.1330688997722356	0.27583355951124283	0.48242461870130704	0.6295043359421362	1
Tasor	5.258775386876916	-0.24484839270022907	0.5508342299527939	-0.4445046792411801	0.6566777465647476	1
Tasor2	2.969031021567975	0.28015731882785433	0.7316670870531522	0.382902721449738	0.7017918934454956	1
Tatdn1	11.919527081818329	-0.04381786880558108	0.34957507899945545	-0.12534608854554344	0.9002495664930115	1
Tatdn3	17.900147031814065	-0.03925725089642194	0.28749078899950253	-0.1365513345072418	0.8913854454892025	1
Tax1bp3	14.343360978660105	-0.6154579836260627	0.34740363588013073	-1.7715933860819533	0.07646207838369144	1
Tbata	1.7944460497466088	0.2565870372286362	1.0046511157778422	0.25539914622995863	0.7984148301410546	1
Tbc1d1	8.011824471544193	0.13450607054410132	0.42168425796320735	0.3189734214736496	0.7497466674514521	1
Tbc1d12	3.733661585901445	-0.0539253485720551	0.6544639970457254	-0.08239620332894722	0.9343316550903054	1
Tbc1d15	18.435947769474005	0.46919610714235216	0.28488373714569526	1.6469739966321624	0.09956339078082298	1
Tbc1d19	16.418978113133356	0.23766177615194095	0.29762098344292626	0.7985383738828903	0.42455813364312983	1
Tbc1d2	1.9029538023091963	-0.2231046783608684	0.991594280995256	-0.22499593093350623	0.8219824397599911	1
