animal	day	weight	delta
116331.1	4	19.5	0.026315789473684292
116331.1	5	20.2	0.06315789473684208
116331.1	10	20.1	0.05789473684210544
116331.2	1	18.8	0
116331.2	2	18.8	0
116331.2	3	19.1	0.015957446808510634
116331.2	4	19.1	0.015957446808510634
116331.2	5	19.3	0.02659574468085113
116331.2	10	18.2	-0.03191489361702138
116331.3	1	19.8	0
116331.3	2	19.9	0.005050505050504972
116331.3	3	20.3	0.025252525252525304
116331.3	4	21	0.06060606060606055
116331.3	5	20.8	0.05050505050505061
116331.3	10	19.5	-0.015151515151515138
116331.4	1	23.2	0
116331.4	2	23.5	0.012931034482758674
116331.4	3	23.1	-0.004310344827586077
116331.4	4	23.3	0.004310344827586299
116331.4	5	23.4	0.008620689655172376
116331.4	10	22.1	-0.047413793103448176
116331.5	1	21.3	0
116331.5	2	21.3	0
116331.5	3	21.5	0.009389671361502261
116331.5	4	21.9	0.028169014084507005
116331.5	5	22.3	0.04694835680751175
116331.5	10	21.4	0.004694835680751019
116332.1	1	18.2	0
116332.1	2	18.2	0
116332.1	3	18.2	0
116332.1	4	18.7	0.027472527472527375
116332.1	5	18.6	0.021978021978022122
116332.1	10	18.2	0
116332.2	1	18.8	0
116332.2	2	20.6	0.0957446808510638
116332.2	3	20.7	0.10106382978723394
116332.2	4	20.3	0.07978723404255317
116332.2	5	20	0.06382978723404253
116332.2	10	19.9	0.058510638297872175
116332.3	1	22.5	0
116332.3	2	22.9	0.01777777777777767
116332.3	3	22.9	0.01777777777777767
116332.3	4	23.1	0.02666666666666684
116332.3	5	23.1	0.02666666666666684
